cell_idx,dist_mean,dist_std,yaw_mean,yaw_std,count
93,49.573393899072904,37.14686557925164,42.55441792805988,60.41578267405359,3.0
94,184.97263711842257,25.558868912295665,81.53524271647134,66.76220607992856,3.0
95,186.83646209042394,30.583724610040214,110.00472068786621,13.71438793345452,4.0
96,164.23821585930884,66.21863800268319,94.03767256303267,55.73246690074812,11.0
99,174.92929616019413,62.248251062785094,91.80715052286784,77.6380964010179,6.0
105,171.9769522507134,55.40293836191577,101.32076110839844,53.38585784464482,5.0
112,187.96618213814773,44.85678411961568,87.98277044296265,54.6392641841468,8.0
113,123.72268226710071,81.0212722679378,72.55966186523438,36.301061011406986,4.0
114,25.48918890912421,,109.4261703491211,,1.0
115,226.09795542719394,,144.3814239501953,,1.0
116,166.81345799383726,57.5660930149761,87.84050226211548,47.67159585973233,12.0
117,209.27891570537585,27.1884872449143,92.29939365386963,29.59450867702096,4.0
118,184.9588666210979,43.121008981534274,102.57121637132433,61.071319730356436,9.0
119,229.41645129535155,28.95699967759971,163.37196350097656,0.7117894646435019,2.0
169,126.34599484524838,159.5398835232045,54.00086975097656,48.52643287255376,2.0
182,149.0046398572853,,6.402313232421875,,1.0
271,120.8474200194367,72.73096745265029,29.583289146423347,23.58975798480693,4.0
277,198.42740749950335,40.13269245237185,97.10261306592396,41.999404950037054,7.0
282,144.76642390457465,91.10101434799398,50.70896100997925,43.781532837578666,15.0
296,238.20740937714427,,78.84521102905273,,1.0
298,179.5134370321316,46.85984457014185,107.45678117540147,49.051172183922006,9.0
301,157.8399419819722,45.293210708207546,44.07742500305176,57.272663841824546,6.0
302,89.26032282449728,25.694950125767537,66.36742146809895,51.97426563901588,3.0
303,180.65915395328975,71.59658605611334,63.84859127468533,46.09369779923377,9.0
304,158.30685464616312,21.956753451300116,16.637775421142578,20.147909133529133,2.0
305,189.6701533560472,,97.30224609375,,1.0
318,117.55969361784985,86.0134049436007,77.28098424275716,80.23225982433357,6.0
319,154.35355847489686,58.73708911334024,101.98809814453125,69.1783595784232,5.0
320,215.10139876171672,27.994143923884824,87.65469932556152,61.968434795013074,4.0
323,152.82730712994626,88.37281276567002,88.4628677368164,75.79118883083981,5.0
324,159.2592072073482,66.85573558748402,108.69768333435059,54.68394882391287,8.0
499,252.04972516235298,,7.004854679107666,,1.0
518,252.04982113060458,,168.09353637695312,,1.0
519,251.11500272995517,,146.27639532089233,,1.0
526,171.60509331639477,55.192151185087006,75.3354263305664,59.13154867591257,4.0
529,168.3532211182999,40.93174168460624,100.34309895833333,32.690648477719336,3.0
532,110.25305670935983,28.629342261726777,61.21783447265625,74.57179878955766,2.0
534,149.34212107868007,42.91087702183789,97.61264514923097,51.154263278859275,4.0
536,100.62867802370727,35.393933008167615,99.63656616210938,104.40079451896713,2.0
537,145.1910377685791,67.2576688723868,115.69918282826741,44.369673201915354,15.0
562,151.3537435098453,,172.287109375,,1.0
563,199.77881832511437,62.68753445780587,79.02692787987846,71.59437521693128,7.0
564,159.74371411941556,85.5402913983125,76.68484783172607,58.67089206243961,12.0
566,164.89359830176258,100.27628346219214,109.0376672744751,77.82080461132871,4.0
568,133.42841960135928,51.82418953447884,58.788585696220395,47.28703774893824,25.0
569,180.35717608833377,49.729366228484984,81.91875932834766,44.67468456487335,27.0
571,133.345945838997,28.967745990043177,146.44397830963135,7.259034664029149,2.0
583,84.4308064747131,56.769332984386125,86.98356113433837,68.12912420475189,5.0
584,161.44462873168857,3.8963430647539004,66.1092987060547,14.324630803433566,2.0
1042,169.43256736553485,,179.06747436523438,,1.0
1256,118.4226113947158,98.44414849823178,82.31512451171875,85.49185976954813,2.0
1257,115.86774375547465,84.4273561017735,67.28210830688477,39.03604746667194,4.0
1258,117.62165469415417,127.28232877570494,90.1144485473633,119.67135974948513,2.0
1403,249.59482077459157,2.4390503911586663,155.2733211517334,16.126824650962764,2.0
1405,173.12592943495738,,174.9472198486328,,1.0
1406,162.1481451725066,74.9234515063598,152.22150802612305,44.17773380832041,4.0
1408,178.87479736959872,83.80253624566282,88.07017178005643,75.05414093201584,9.0
1463,229.82951699667788,28.002571575603564,7.250839233398452,9.456646872539675,2.0
1464,188.89593479207753,,164.26593017578125,,1.0
1465,70.53329360083518,40.25631390317887,59.43002891540527,2.2806961223926776,2.0
1504,178.88485163806163,52.094293549909374,62.336227416992216,46.53670240789051,2.0
1544,135.39345703249325,53.419529644763045,71.5567626953125,40.116913486176614,7.0
1545,122.07563573117493,81.4953620552564,81.98092106410435,69.61556006621508,7.0
1547,175.56716228849214,,145.3998870849609,,1.0
1611,44.380604805455,52.095375724546386,52.15901565551758,43.395544318494295,2.0
1612,246.4743858613376,,140.34903168678284,,1.0
1614,200.3648277810053,,45.893096923828125,,1.0
1636,214.1851834469547,,23.26947021484375,,1.0
1655,250.93971208159385,,168.80619049072266,,1.0
1656,155.47450798775364,67.05169332487212,74.01162610735211,50.57830556526252,14.0
1657,177.89268426108703,76.86667124928375,90.52233450753349,57.04313291107308,7.0
1658,131.2340455382911,111.68057483051531,141.06378936767578,34.048873010792136,3.0
1661,107.28460328079836,65.16662008449246,159.6417984008789,12.963502357762742,5.0
1662,129.9902714864034,28.509823151531386,111.46307373046875,89.52947677791146,3.0
1663,132.3014212459118,5.935540471511455,173.36038208007812,1.3725333637689137,2.0
1664,187.78892418339538,7.436848572106992,107.73833974202473,91.46507364600659,3.0
1665,147.78526692818173,106.5958559745113,71.62842886788505,73.58218889020331,7.0
1668,163.90911390358787,109.55295443702478,48.88889694213867,80.10936263627123,4.0
1671,240.2740808937843,,173.8719596862793,,1.0
1672,223.3208233836137,37.46727473939121,96.77405261993408,33.820046030552184,2.0
1673,233.6199798319909,,100.963134765625,,1.0
1674,175.60936010833234,94.77419121275658,60.03988075256348,59.69100228735632,4.0
1675,104.8418955483525,88.5978830290386,93.61207471575055,63.35732894386566,7.0
1676,118.91834701354703,105.53874231215319,48.485029220581055,52.59584034054213,4.0
1679,164.06799912106433,83.58392129604509,108.41071065266927,58.45118027501936,6.0
1680,56.60597882748893,,14.78546142578125,,1.0
1681,154.33822765482662,15.918778928811577,97.12802632649739,26.34261498092608,3.0
1685,227.2589137195219,27.754469087943836,96.78580474853517,10.361667162138467,2.0
1686,206.68876529195973,32.61243872788422,93.85785217285157,16.909873477126855,5.0
1704,178.83767373731342,10.764179976424986,99.80535507202148,36.36945832075795,2.0
1705,182.19662585585675,24.46172308365147,169.66315078735352,8.311930374788899,2.0
1708,156.39402842196083,72.90021024052454,118.01989440917968,38.787596027984364,5.0
1710,209.16812509033068,21.034623948861157,105.03755569458008,21.490144156336665,4.0
1711,19.445840757842884,,166.19744110107422,,1.0
1712,250.81852832446066,,6.949256896972656,,1.0
1717,193.3298861850878,44.01686232596283,127.0885181427002,66.2728628596681,4.0
1723,169.63054513191645,61.60933631226613,83.42853546142578,46.638353898555465,4.0
1725,243.1624525623193,,24.218276977539062,,1.0
1726,220.17425966094666,38.99858872615716,112.97402954101562,96.03089303753114,3.0
1728,233.46297088974362,20.82308291393942,114.399159749349,93.27149050921243,3.0
1729,227.5679684625529,,11.56884765625,,1.0
1741,179.88999835084405,87.5218145021562,27.359611511230483,36.26996208689087,2.0
1742,163.30857277156335,78.26516718913453,62.880471801757814,62.866706746491836,5.0
1748,208.77221331390857,31.74089790104254,26.647205352783196,37.95580272784401,4.0
1750,108.69380782330953,46.82290075584822,104.55917358398439,58.63414979425717,4.0
1753,247.78207310771126,5.404853200798217,76.39887237548828,88.92954285457967,2.0
1755,167.51898271652541,67.0781813552468,110.8303804397583,55.4856978018187,8.0
1767,83.0479432789854,40.38219970632882,63.264556884765625,54.700259691531194,2.0
1768,240.4816406081296,,120.8487548828125,,1.0
1774,113.9765638538742,63.10014484184964,93.43068949381511,7.964469555386394,3.0
1781,193.5895330646017,,109.45713806152344,,1.0
1783,212.4489645811766,56.8951746472931,100.1563048362732,33.32998366004434,4.0
1784,124.01575318452902,75.0517087977137,105.40264892578125,51.77800468982648,4.0
1793,34.49458227602234,38.679885302478205,36.852813720703125,41.70095778153436,2.0
1796,91.06633816672803,63.974475788483225,11.387140274047852,7.991554928635022,4.0
1797,129.4339683869124,0.526033220017495,5.023910522460923,4.285151684401294,2.0
1801,195.22760573374785,33.2580405741478,23.437049865722656,0.9683552017930824,2.0
1807,160.53099610989676,75.5509983167895,96.21423230852398,47.200672217836605,7.0
1808,120.22491123824983,68.84910366929584,73.75426228841145,76.37859761067881,6.0
1809,168.9938301381122,105.2958821335946,89.09442138671875,69.94777732368287,3.0
1810,186.06822873791415,51.82804377305402,139.53968811035156,7.359516796976577,2.0
1812,141.21096428614152,79.4739627907298,85.34037711403586,68.68394092370677,11.0
1813,202.6004573382341,,170.58230590820312,,1.0
1814,137.0354458378872,73.72206380931765,80.60684204101562,56.071566166244565,7.0
1815,159.70929258407511,62.80483596859139,105.56328296661377,62.18090273256915,8.0
1816,251.10789624485537,,138.52975463867188,,1.0
1819,145.94523111075145,31.23331510900134,13.39108657836914,13.840917155045412,2.0
1820,166.17460012892295,100.19969623381974,54.51625633239746,22.585754193958522,4.0
1821,83.00390360018132,,4.325927734375,,1.0
1826,252.03014721420544,0.0,94.47218227386475,108.52019782104055,2.0
1829,174.17427729679162,48.44747910628013,79.32879104614258,71.98671763100371,5.0
1830,230.65209131947327,39.47013233938286,69.48793729146321,67.26513113210476,6.0
1832,232.06292946097432,19.50796273061762,100.8455810546875,58.37899194637354,5.0
1833,164.66960439205644,72.3374325721463,76.56110715866089,63.898382288278356,4.0
1842,141.41490496308253,62.60331330524885,64.41708374023438,30.509599079407437,3.0
1844,90.45042295558355,39.15974849586409,87.85360622406006,89.14070733216374,2.0
1845,102.11683725748227,25.674261855999546,124.27402305603027,27.417727829889525,4.0
1850,198.84890608308396,79.23000824408784,69.49250507354736,34.72445982042962,4.0
1851,200.07773748194907,,96.83367156982422,,1.0
1852,194.66160526587234,47.65737107943347,5.895641326904297,7.392942956768385,2.0
1857,212.10932239142306,47.288310031852426,77.50926971435547,0.7962288211737436,2.0
1858,145.07928097362034,122.13514467624572,77.12656784057617,97.38759669033064,2.0
1860,146.85461111657935,12.071033951550568,59.48318099975586,52.420931150079,2.0
1861,157.84839235439026,80.30614129746154,83.83222579956055,115.57736189334447,2.0
1864,69.61993486280865,,2.63311767578125,,1.0
1865,17.300733250940823,,0.9491729736328125,,1.0
1870,124.07196466722428,21.99959596037946,98.16052246093751,111.74121373594646,2.0
1871,148.13095527603446,79.19421680129419,76.37000401814778,66.191619258833,6.0
1872,187.7452092419583,73.33104234729615,2.7916539510091076,1.9189408673877195,6.0
1883,44.17889781162265,23.927631189385806,68.09750175476074,51.64261631868478,4.0
1884,207.02148483766874,46.13287378411879,59.66398175557455,41.79417422738781,12.0
1903,119.49155301849216,9.79212347767315,60.07823181152344,81.70505781673624,2.0
1905,171.01409125119105,45.47940689187616,173.46979777018228,4.749256440162031,3.0
1906,153.44737803389165,74.11875106773851,72.39101918538411,79.85086866927757,6.0
1907,244.64654634697484,,63.302642822265625,,1.0
1908,142.53125310950497,34.802637995960325,60.91160074869791,103.11830334537493,3.0
1909,231.67478288260816,,46.60425567626953,,1.0
1910,111.79131628329436,97.04780545593502,32.37062072753906,24.468194491194424,4.0
1912,75.24067185562518,,88.778564453125,,1.0
1913,182.38431892024806,79.58033870101076,63.93619728088379,76.4249036362389,4.0
1914,117.17189854674675,36.22827393107444,95.21311950683594,80.87518704390631,2.0
1916,204.56395372996536,6.8960198517973135,22.62082672119145,21.80810923690077,2.0
1917,191.7423043226149,36.39800363637033,127.29766591389973,42.81660832029993,3.0
1918,162.1743779931924,63.14388012835044,98.92452875773112,56.5288134922468,3.0
1920,232.8302512027954,19.995467028545487,81.27288246154785,91.38781410216717,2.0
1947,107.80752352506404,,81.45266723632812,,1.0
1948,180.17999531456732,,42.576568603515625,,1.0
1949,158.18489967552836,84.71774593804032,66.02102661132812,30.557293271677715,2.0
1952,236.92777814567683,,63.97003173828125,,1.0
1953,188.25695797972557,83.66244547677624,102.59096145629883,54.32889840928348,4.0
1954,137.69917029163668,120.25220244942794,72.29421997070314,61.45251660296792,2.0
1955,183.65491668341295,54.30320202307334,90.44843292236328,47.892480584126474,4.0
1958,121.54498345260234,54.22118548673405,146.91881942749023,2.8586433805554083,2.0
1959,193.15703957480034,45.83841911972541,99.7382698059082,64.76547738518686,2.0
1966,179.41173222728074,92.17339308541337,77.53160095214844,43.73207489086913,6.0
1968,238.16119924441998,,62.336517333984375,,1.0
1979,102.9767323642266,61.51521701923169,75.653515625,30.117696212584686,5.0
1980,251.8829469565091,,22.468505859375,,1.0
2002,182.1895764434049,,104.76570129394531,,1.0
2026,140.24605939883807,61.969733958512066,85.45953114827473,56.32351080658361,3.0
2028,80.46658445286327,47.58703063945459,12.677169799804688,4.416417875501098,2.0
2029,155.9987062359663,80.27264969021755,28.64237721761067,48.508606418520195,6.0
2033,37.58253471852318,,16.631195068359375,,1.0
2046,158.2889971719844,97.65031670592106,113.145751953125,41.08391944625326,3.0
2047,229.3492238929382,31.741066438909527,79.36093139648438,15.883058068768973,2.0
2056,240.92592973262737,8.452181575849997,100.8073486328125,34.8702190253992,5.0
2068,132.71775322381194,121.59005524059333,89.43116760253906,9.32288289060976,2.0
2075,178.60725377113488,80.06495988539864,75.07149251302083,83.75840481653253,3.0
2076,106.5367960866254,,28.721649169921875,,1.0
2077,204.86280366832335,,168.5576171875,,1.0
2078,156.21674290861068,94.70619750176868,91.20205078125001,74.21254898696556,5.0
2079,147.9611274586527,19.784863204500777,49.99681091308594,16.521866724880585,2.0
2081,242.32730120068683,,12.798858642578125,,1.0
2086,170.18015456167402,68.55582933759092,60.75703239440917,38.18173685063393,4.0
2088,206.64856124421974,13.619324811563377,89.15910339355469,78.59878787701301,2.0
2089,166.8491534897005,89.10588951766152,69.08751932779948,57.74324965100972,9.0
2090,125.17852074900588,70.49856377363628,105.54758389790852,28.954241190729867,6.0
2091,142.5179563082592,110.88348221304217,94.46755472819011,74.17065763848524,3.0
2092,134.92771123253223,,1.5911407470703125,,1.0
2093,132.57464026763574,74.65595145142915,84.05864715576172,53.29785379587616,5.0
2094,220.81380741471276,40.56344759548925,83.81013107299805,60.30448770009893,2.0
2095,249.41877456390813,,3.7611236572265625,,1.0
